stock_code,variable,label,ab_n,ab_mean,ab_var,ab_skew,ab_kurtosis,nm_n,nm_mean,nm_var,nm_skew,nm_kurtosis,ks_stat,ks_pvalue
0050,trade_ret,Trade price log returns,264,2.6845461678236976e-05,2.1441945326897138e-07,-0.0335627281294236,0.6887365589142629,14256,2.24436822823651e-06,1.874518726139259e-07,-0.067308136849087,3.138382934371224,0.16778900112233452,7.653705638327068e-07
0050,press_5,5-level book pressure,265,0.10660032164287474,0.13420238585459868,-0.24717725366458002,-0.9967726913156736,14310,0.05973530612208558,0.10135949323186395,0.1198981814019597,-0.36707651129517416,0.16443046820405316,1.3036952489423055e-06
0050,mid_ret,Mid-quote log returns,264,2.8187746855699565e-05,8.198577420953191e-08,0.5109396826740915,2.7590558120386044,14256,2.295744030895462e-06,1.0531717913619344e-07,0.05181786681812889,7.3130130922082905,0.09953703703703698,0.010971344871065943
0050,press_1,1-level book pressure,265,0.1686013868267207,0.5046902310491065,-0.37822315247078997,-1.359412997637226,14310,0.09481880729927768,0.46838643930501844,-0.20081728113233785,-1.4547603474105166,0.08190076869322149,0.05773955189321023
0050,spread,Bid-ask spread,265,0.0696226415094352,0.0011854631217839136,1.7602454033047805,2.542731469728028,14310,0.06759608665269043,0.00108143863169001,2.198141488946967,6.0801607653446315,0.04018169112508735,0.7796850809779726
0050,d_spread,First diff of spread,264,1.0765799026668185e-16,0.0019581749049430676,-0.13264501126493652,1.9238106227312963,14256,-0.00010521885521885422,0.0012437630425617132,-0.03183577545591011,3.9332845014063373,0.038860830527497225,0.8142546695356845
0050,trade_size,Trade size,265,237.73584905660377,1280388.793596341,7.78808314568728,69.13770025082616,14310,700.62893081761,421102208.004726,73.1350292647484,5808.7632635886,0.019007686932215218,0.9999657646462363
0056,press_5,5-level book pressure,1855,0.11194431387284084,0.3322454077583204,-0.36268193385548764,-1.2062536840674773,12720,0.009301474320816284,0.2640090532077749,0.006308160788615038,-1.1458793503688172,0.1372866127583109,4.44847138918978e-27
0056,press_1,1-level book pressure,1855,-0.0029973678543633734,0.4787659339660447,0.0008272069499521282,-1.4826421360860527,12720,-0.15395925903885005,0.46130100405456703,0.3356780662487732,-1.3534766647431726,0.10599730458221024,2.709929908611163e-16
0056,trade_ret,Trade price log returns,1848,-1.1010866360384196e-05,1.3046741276537456e-07,0.09238969211450515,4.3018443810872675,12672,6.798261125122496e-07,1.0855261778256896e-07,0.2745208527696769,5.963779298999592,0.054788961038961026,0.00011946950967496378
0056,mid_ret,Mid-quote log returns,1848,-1.079461307791299e-05,9.115422929294617e-08,-0.2276474773198921,8.089234761000471,12672,3.737402500138447e-07,6.974045326913069e-08,0.44609829821326386,10.831168576995179,0.04406791125541126,0.0036870821028868375
0056,spread,Bid-ask spread,1855,0.012576819407007982,3.089687337351908e-05,2.689526037993679,9.703207970427934,12720,0.012466981132075564,3.632252001536926e-05,3.40816746192903,16.60826678919189,0.02701033243486084,0.18488538628762108
0056,d_spread,First diff of spread,1848,-2.7056277056294742e-05,4.80230899762574e-05,0.2185644135588815,6.153448094131619,12672,-8.680555555559996e-06,4.420322351344724e-05,0.12827093541769444,9.955740614854928,0.021498466810966788,0.43906374673890247
0056,trade_size,Trade size,1855,1252.8301886792453,256878329.3643525,25.619154277628155,690.7946089544994,12720,2597.7201257861634,2332440957.141571,39.01210482798531,1927.225935507312,0.01299415992812214,0.9440875883264767
2330,press_5,5-level book pressure,530,0.04589661887438154,0.05875075882576629,-1.3078673423721405,2.118900956205005,14045,-0.132485248960928,0.08845538655354893,0.25505130301874546,-0.8003210342653411,0.36867212531149884,8.360722048112604e-63
2330,trade_ret,Trade price log returns,528,2.7611868699426985e-05,9.88300689579284e-07,0.08631237578943474,-0.5165221040858157,13992,1.0920864675742951e-06,1.0952434643276152e-06,0.027413919543393336,0.21173151605340967,0.10091480846197827,5.76871718664635e-05
2330,press_1,1-level book pressure,530,-0.051618299843076206,0.18057386771526335,0.37782672147853175,-0.4262777421723323,14045,-0.03806252925658554,0.1879939686493507,0.09407516182532992,-0.6177974208388419,0.0686365254538982,0.015448612757104402
2330,mid_ret,Mid-quote log returns,528,2.489114573854408e-05,2.227259584682261e-07,1.433656291996844,12.852956283008847,13992,5.987373049757851e-07,2.7111485831886475e-07,0.18682972168453674,11.510769276280676,0.02422813036020577,0.9189795496677186
2330,d_spread,First diff of spread,528,0.003787878787878788,0.015165890403082055,8.066133623309904,162.8662903914308,13992,0.0002144082332761578,0.005503492014530783,0.5165915619602462,178.77560717861704,0.0028230417381360784,1.0
2330,spread,Bid-ask spread,530,1.0075471698113208,0.01128508756286336,15.613801236098096,262.71100536128563,14045,1.0029191883232467,0.0029108739161739458,18.429228081443156,337.6845337433225,0.002741189035243896,1.0
2330,trade_size,Trade size,530,366.0377358490566,1124742.3048114988,6.071390725025847,47.259422460113996,14045,388.75044499822,5182955.1815942535,42.66844541484843,2427.6101138660565,0.004343182627269515,1.0
