stock_code,variable,label,ab_n,ab_mean,ab_var,ab_skew,ab_kurtosis,nm_n,nm_mean,nm_var,nm_skew,nm_kurtosis,ks_stat,ks_pvalue
0056,press_5,5-level book pressure,1855,0.11194431387284084,0.3322454077583204,-0.36268193385548764,-1.2062536840674773,12720,0.009301474320816284,0.2640090532077749,0.006308160788615038,-1.1458793503688172,0.1372866127583109,4.44847138918978e-27
0056,press_1,1-level book pressure,1855,-0.0029973678543633734,0.4787659339660447,0.0008272069499521282,-1.4826421360860527,12720,-0.15395925903885005,0.46130100405456703,0.3356780662487732,-1.3534766647431726,0.10599730458221024,2.709929908611163e-16
0056,trade_ret,Trade price log returns,1848,-1.1010866360384196e-05,1.3046741276537456e-07,0.09238969211450515,4.3018443810872675,12672,6.798261125122496e-07,1.0855261778256896e-07,0.2745208527696769,5.963779298999592,0.054788961038961026,0.00011946950967496378
0056,mid_ret,Mid-quote log returns,1848,-1.079461307791299e-05,9.115422929294617e-08,-0.2276474773198921,8.089234761000471,12672,3.737402500138447e-07,6.974045326913069e-08,0.44609829821326386,10.831168576995179,0.04406791125541126,0.0036870821028868375
0056,spread,Bid-ask spread,1855,0.012576819407007982,3.089687337351908e-05,2.689526037993679,9.703207970427934,12720,0.012466981132075564,3.632252001536926e-05,3.40816746192903,16.60826678919189,0.02701033243486084,0.18488538628762108
0056,d_spread,First diff of spread,1848,-2.7056277056294742e-05,4.80230899762574e-05,0.2185644135588815,6.153448094131619,12672,-8.680555555559996e-06,4.420322351344724e-05,0.12827093541769444,9.955740614854928,0.021498466810966788,0.43906374673890247
0056,trade_size,Trade size,1855,1252.8301886792453,256878329.3643525,25.619154277628155,690.7946089544994,12720,2597.7201257861634,2332440957.141571,39.01210482798531,1927.225935507312,0.01299415992812214,0.9440875883264767
