,D=0.000100,D=0.000550,D=0.001000
G=0.000375,0.7279844880104065,0.732352152466774,0.735351026058197
G=0.002063,0.7248712033033371,0.7259604036808014,0.7231060266494751
G=0.003750,0.6454967856407166,0.5532039403915405,0.5420443415641785
