,return
225000.0,-0.0016920473773265332
461000.0,-0.010273972602739767
451000.0,-0.0034482758620689724
196000.0,-0.006908462867012077
152000.0,0.006896551724137945
292000.0,-0.0017035775127768327
297000.0,0.0068846815834766595
295000.0,0.0034188034188034067
251000.0,0.0068846815834766595
127000.0,-0.001697792869269965
319000.0,0.0017182130584192379
228000.0,-0.0034305317324184736
413000.0,0.0017035775127767216
613000.0,0.004830917874396157
143000.0,-0.009493670886076
132000.0,0.0015948963317384823
238000.0,-0.0015948963317384823
349000.0,0.011041009463722329
183000.0,0.006250000000000089
200000.0,0.0015503875968991832
383000.0,0.0031104199066873672
264000.0,-0.012598425196850394
620000.0,-0.0015974440894568342
137000.0,0.0
189000.0,-0.007112375533428139
138000.0,-0.01862464183381085
402000.0,0.007396449704142105
291000.0,0.007385524372230501
336000.0,0.0014705882352941124
116000.0,-0.0014430014430014682
233000.0,-0.004279600570613384
474000.0,0.002865329512893977
177000.0,-0.004279600570613384
205000.0,0.00723589001447178
241000.0,-0.010071942446043147
613000.0,0.014025245441795287
135000.0,0.0013623978201635634
156000.0,0.026462395543175532
1543000.0,0.007936507936507908
351000.0,-0.01383647798742138
214000.0,-0.003911342894393766
246000.0,0.0185185185185186
93000.0,-0.0063856960408684715
276000.0,-0.0012836970474967568
376000.0,-0.010349288486416586
229000.0,0.009247027741083214
95000.0,0.0092592592592593
138000.0,-0.01049868766404205
253000.0,0.010322580645161228
124000.0,-0.006353240152477735
238000.0,0.001280409731113874
148000.0,0.0
141000.0,-0.0012771392081737387
355000.0,-0.007741935483870921
378000.0,0.013003901170351106
