,return
467000.0,-0.00747663551401867
33000.0,-0.003801248981808336
35000.0,-0.0010922992900054274
32000.0,-0.0030005455537370773
491000.0,-0.004358485426314451
34000.0,-0.008960086885690943
17000.0,-0.0013774104683195176
70000.0,0.0013789299503585983
438000.0,-0.0032858707557503752
93000.0,0.0027624309392264568
15000.0,-0.00817361894024804
146000.0,-0.002272081794944536
21000.0,-0.0005524861878454246
400000.0,-0.001653803748621896
605000.0,-0.0027495188342038235
37000.0,-0.0060656189688449436
56000.0,-0.002481389578163906
54000.0,0.0002744237102088043
1021000.0,0.0035173160173160856
67000.0,-0.0013390465988217803
1008000.0,-0.007391763463569179
505000.0,-0.0037164852667905812
47000.0,0.0015915119363394403
123000.0,0.0029023746701846154
288000.0,-0.014611638041527875
628000.0,-0.0002600780234071065
9000.0,-0.0033163265306123124
506000.0,-0.009979529170931478
502000.0,-0.004273504273504369
511000.0,-0.004502251125562795
517000.0,-0.0050226017076846485
535000.0,-0.010090817356205761
